(node:3736) [MODULE_TYPELESS_PACKAGE_JSON] Warning: Module type of file:///C:/Users/Administrator/Desktop/Nueva%20carpeta/-CODIGOS%20WEBS-/028import%20-%20Oficial/028-import-oficial/src/lib/firebaseAdmin.js is not specified and it doesn't parse as CommonJS.
Reparsing as ES module because module syntax was detected. This incurs a performance overhead.
To eliminate this warning, add "type": "module" to C:\Users\Administrator\Desktop\Nueva carpeta\-CODIGOS WEBS-\028import - Oficial\028-import-oficial\package.json.
(Use `node --trace-warnings ...` to show where the warning was created)
179 imágenes distintas para revisar.

[162/179] ya está liviana (37KB)  AIRPODS PRO GEN 2
[163/179] ya está liviana (78KB)  TORCH 4G
[164/179] OK  270KB -> 74KB  CHERRY FUSE
[165/179] OK  149KB -> 71KB  BLUE RAZZ LEMON
[166/179] OK  135KB -> 65KB  CHERRY WATERMELON
[167/179] OK  130KB -> 65KB  GRAPE
[168/179] OK  146KB -> 73KB  MINT
[169/179] OK  158KB -> 80KB  PASSION FRUIT
[170/179] OK  141KB -> 70KB  STRAWBERRY WATERMELON
[171/179] OK  151KB -> 73KB  STRAWBERRY KIWI
[172/179] OK  149KB -> 75KB  STRAWBERRY
[173/179] OK  138KB -> 67KB  TUTTI FRUTI
[174/179] ya está liviana (104KB)  CHERRY STRAZZ
[175/179] ya está liviana (28KB)  DOUBLE APPLE ICE
[176/179] OK  299KB -> 72KB  DRAGON STRAWNANA
[177/179] ya está liviana (75KB)  GRAPE ICE
[178/179] OK  270KB -> 66KB  MANGO MAGIC
[179/179] ya está liviana (64KB)  PEACH

--- resumen ---
comprimidas ahora: 159
ya livianas (sin tocar): 20
ya procesadas antes (saltadas): 0
fallidas: 0
peso total: 219.8MB -> 46.5MB
ahorro: 79%
